z_m,z_km,temperature_K,temperature_C,pressure_Pa,pressure_hPa,density_kg_m3
48900.0,48.9,270.65,-2.5,87.25020633018467,0.8725020633018467,0.0011230546232227862
49000.0,49.0,270.65,-2.5,86.15578780304668,0.8615578780304668,0.0011089676446546016
49100.0,49.1,270.65,-2.5,85.07509705906153,0.8507509705906153,0.0010950573653858784
49200.0,49.2,270.65,-2.5,84.00796190447923,0.8400796190447923,0.001081321568997938
49300.0,49.3,270.65,-2.5,82.95421230545325,0.8295421230545326,0.0010677580668736356
49400.0,49.4,270.65,-2.5,81.91368036094806,0.8191368036094806,0.0010543646978486356
49500.0,49.5,270.65,-2.5,80.88620027598616,0.8088620027598615,0.0010411393278670564
49600.0,49.6,270.65,-2.5,79.87160833523096,0.7987160833523096,0.0010280798496414387
49700.0,49.7,270.65,-2.5,78.86974287690086,0.7886974287690086,0.0010151841823169755
49800.0,49.8,270.65,-2.5,77.88044426701059,0.7788044426701058,0.0010024502711399566
49900.0,49.9,270.65,-2.5,76.90355487393569,0.7690355487393569,0.0009898760871303708
50000.0,50.0,270.65,-2.5,75.93891904329593,0.7593891904329593,0.0009774596267586142
50100.0,50.1,270.65,-2.5,74.98638307315387,0.7498638307315387,0.000965198911626254
50200.0,50.2,270.65,-2.5,74.0457951895246,0.740457951895246,0.0009530919881507991
50300.0,50.3,270.65,-2.5,73.11700552219234,0.7311700552219235,0.0009411369272544196
50400.0,50.4,270.65,-2.5,72.19986608083089,0.7219986608083089,0.0009293318240565763
50500.0,50.5,270.65,-2.5,71.29423073142304,0.7129423073142305,0.0009176747975705013
50600.0,50.6,270.65,-2.5,70.39995517297629,0.7039995517297629,0.0009061639904034894
50700.0,50.7,270.65,-2.5,69.51689691453025,0.6951689691453025,0.0008947975684609455
50800.0,50.8,270.65,-2.5,68.64491525245269,0.6864491525245269,0.0008835737206541478
50900.0,50.9,270.65,-2.5,67.78387124802022,0.6778387124802022,0.0008724906586116732
51000.0,51.0,270.65,-2.5,66.93362770528024,0.6693362770528024,0.0008615466163944446
51100.0,51.1,270.37,-2.7799999999999727,66.09361729643179,0.6609361729643178,0.0008516153271781943
51200.0,51.2,270.09,-3.0600000000000023,65.26329489905736,0.6526329489905736,0.0008417884058976072
51300.0,51.3,269.81,-3.339999999999975,64.44255864944344,0.6444255864944344,0.0008320648622449031
51400.0,51.4,269.53,-3.6200000000000045,63.6313076509201,0.636313076509201,0.0008224437142963716
51500.0,51.5,269.25,-3.8999999999999773,62.82944196567062,0.6282944196567062,0.0008129239884499931
51600.0,51.6,268.96999999999997,-4.180000000000007,62.03686260660004,0.6203686260660004,0.0008035047193634367
51700.0,51.7,268.69,-4.4599999999999795,61.253471529266704,0.612534715292667,0.0007941849498924822
51800.0,51.8,268.40999999999997,-4.740000000000009,60.479171623871345,0.6047917162387134,0.000784963731029809
51900.0,51.9,268.13,-5.019999999999982,59.71386670730863,0.5971386670730863,0.0007758401218442083
